"DC_NOME","SG_ESTADO","CD_SITUACAO","VL_LATITUDE","VL_LONGITUDE","VL_ALTITUDE","DT_INICIO_OPERACAO","CD_ESTACAO"
"CAMBARA DO SUL","RS","Operante","-29.04916666","-50.14972221","1017","11/23/2016","A897"
"CAMBUCI","RJ","Pane","-21.58749999","-41.95833333","46","11/19/2002","A604"
"CAMETA","PA","Pane","-2.23972221","-49.49972221","9.92","6/19/2008","A236"
"CAMPINA DA LAGOA","PR","Operante","-24.57083332","-52.80027777","598","8/3/2016","B803"
"CAMPINA GRANDE","PB","Operante","-7.22555554","-35.90472222","546.17","12/21/2006","A313"
"CAMPINA VERDE","MG","Operante","-19.53921","-49.518133","559.07","7/14/2006","A519"
"CAMPO BOM","RS","Operante","-29.674293","-51.064042","23.35","11/28/2013","A884"
"CAMPO GRANDE","MS","Operante","-20.44722221","-54.72249999","528.47","9/9/2001","A702"
"CAMPO MAIOR","PI","Operante","-4.86416666","-42.14555555","125","11/22/2018","A376"
"CAMPO NOVO DOS PARECIS","MT","Pane","-13.78583333","-57.8386111","525.41","12/12/2002","A905"
"CAMPO VERDE","MT","Operante","-15.55888888","-55.17944443","747","11/20/2006","A912"
"CAMPOS DO JORDAO","SP","Operante","-22.75027777","-45.60388888","1662.95","3/12/2002","A706"
"CAMPOS DOS GOYTACAZES","RJ","Operante","-21.71472222","-41.34388888","17","9/24/2006","A607"
"CAMPOS DOS GOYTACAZES - SAO TOME","RJ","Operante","-22.04166666","-41.05166666","7","6/12/2008","A620"
"CAMPOS LINDOS","TO","Pane","-8.15472222","-46.63944444","426.56","10/28/2012","A043"
"CAMPOS NOVOS","SC","Operante","-27.3886111","-51.21583333","963","2/14/2019","A898"
"CAMPOS SALES","CE","Pane","-7.07777777","-40.36277777","577.95","3/6/2008","A347"
"CANELA","RS","Operante","-29.36888888","-50.82722221","830.93","8/22/2008","A879"
"CANGUCU","RS","Operante","-31.40333333","-52.70083333","446.81","1/23/2007","A811"
"CANTO DO BURITI","PI","Operante","-8.11805554","-42.97583332","312.07","6/11/2010","A365"
"CAPAO DO LEAO (PELOTAS)","RS","Operante","-31.8025","-52.40722222","13","7/17/2019","A887"
"CAPELINHA","MG","Operante","-17.70555555","-42.38916666","932.06","8/30/2007","A541"
"CAPITAO POCO","PA","Pane","-1.73472221","-47.0575","79.1","4/17/2011","A248"
"CARACOL","PI","Pane","-9.28583333","-43.32444443","515.3","11/9/2007","A337"
"CARATINGA","MG","Operante","-19.73583333","-42.13722221","609.25","5/23/2007","A554"
"CARAVELAS","BA","Operante","-17.73944444","-39.25861111","6.05","12/19/2002","A405"
"CARLINDA","MT","Operante","-9.97055554","-55.82749999","293.71","4/8/2008","A926"
"CARMO","RJ","Operante","-21.9386111","-42.60083333","293","10/10/2018","A629"
"CAROLINA","MA","Operante","-7.33722221","-47.45972222","182.88","12/3/2007","A205"
"CARUARU","PE","Operante","-8.36527777","-36.02833332","852","11/20/2007","A341"
"CASA BRANCA","SP","Operante","-21.78055554","-47.07527777","734.15","6/24/2007","A738"
"CASSILANDIA","MS","Operante","-19.12249999","-51.72083332","494.72","3/7/2008","A742"
"CASTANHAL","PA","Operante","-1.30083333","-47.94805555","47.13","1/23/2003","A202"
"CASTELO DO PIAUI","PI","Operante","-5.34916666","-41.51222222","268.75","4/19/2009","A361"
"CASTRO","PR","Pane","-24.77999999","-50.04638888","1016","7/8/2006","A819"
"CATALAO","GO","Operante","-18.154779","-47.927614","900.72","1/30/2008","A034"
"CAXIAS","MA","Operante","-4.82138888","-43.3436111","84.85","7/12/2008","A237"
"CHAPADA GAUCHA","MG","Operante","-15.30027777","-45.61749999","873.2","6/21/2007","A548"
"CHAPADAO DO SUL","MS","Operante","-18.80222222","-52.6025","820.82","12/19/2006","A730"
"CHAPADINHA","MA","Operante","-3.74277777","-43.35222222","104","9/16/2008","A206"
"CHAPECO","SC","Operante","-27.0853111","-52.6357111","679","2/18/2019","A895"
"CIDADE GAUCHA","PR","Pane","-23.35916666","-52.93194443","365.79","3/10/2008","A869"
"CLEVELANDIA","PR","Operante","-26.41722221","-52.3486111","966.06","5/14/2008","A876"
"COARI","AM","Operante","-4.09749999","-63.14527777","33.84","4/11/2008","A117"
"COLINAS","MA","Operante","-6.03305554","-44.23333333","175.37","6/2/2008","A222"
"COLINAS DO TOCANTINS","TO","Operante","-8.092708","-48.478605","200","11/10/2016","A049"
"COLOMBO","PR","Operante","-25.322464","-49.157733","950","5/31/2016","B806"
